ID_Gasto,Fecha,Categoria,Proveedor,Descripcion,Importe_EUR,Impacto_Carbono_Kg
GST-001,2023-01-15,Infraestructura,GreenDataCenter,Alquiler de racks en centro de datos de energía renovable,15000,0
GST-002,2023-02-20,I+D,Nvidia,Adquisición de GPUs de alta eficiencia (L40S),85000,500
GST-003,2023-03-05,Infraestructura,AWS,Respaldo cloud temporal (región fráncfort),4500,210
GST-004,2023-04-12,Operaciones,EcoCooling Systems,Actualización del sistema de refrigeración líquida local,22000,50
GST-005,2023-05-18,I+D,OpenAI,Suscripción de API para validación de datasets,1200,0
GST-006,2023-06-25,Infraestructura,NordicCloud,Servidores alimentados por energía geotérmica (Islandia),18000,0
GST-007,2023-07-10,Marketing,TechSummit,Patrocinio de evento "Green Tech 2023",15000,100
GST-008,2023-08-05,Legal,Garrigues,Consultoría legal para SLA de EcoNode,5000,0
GST-009,2023-09-12,Infraestructura,GreenDataCenter,Alquiler de racks en centro de datos de energía renovable,15500,0
GST-010,2023-10-22,Operaciones,SolarTech,Paneles solares para oficina principal en Valencia,12000,0
